"Country","ElectrAccess","CookAccess","AgriLand","BirthRate","CO2","CompEdu","DeathRate","FoodExports","Telephone","Internet","PopGrowth","BusinessTime","AdolFertRate","Precipitation","CorControl","EmployerPerc","FertRate","GDPperc","GDPdollars","Inflation","WaterStress","LifeExp","MortRate","PolStab","PopPerc14","VoiceAcc","WomBusiness"
"Slovak Republic",100,100,39.28868552,10.6,6.059571809,10,10,3.466495046,13.26854603,80.44892248,0.13850816,26.5,26.808,824,0.230566427,2.926997996,1.54,3.886398879,19486.39368,2.514037129,2.394578313,77.26585366,4.9,0.736512184,15.67914271,0.847073376,94.375
"South Africa",84.7,86.3,79.41785028,21.137,7.667377025,9,8.765,11.10953176,5.834428489,62.4,1.22553004,40,59.361,495,-0.136328086,4.647749826,2.418,0.319770421,7067.724165,4.517165228,62.88824848,65.674,27.8,-0.237621993,28.6815298,0.637540758,88.125
"Spain",100,100,52.40820971,7.9,5.521059835,10,9.1,15.86788585,42.23511036,86.10723553,0.437982994,12.5,6.184,636,0.612849295,4.969032867,1.26,1.837460464,30379.72111,1.674981369,40.09406953,83.43170732,2.7,0.275779158,14.86233674,1.029652596,97.5
"St. Lucia",99.9905014,95,16.29508197,11.986,2.967597589,10,7.976,31.48329313,20.50110182,71.5,0.408392601,11,38.533,2301,0.560043097,4.992251089,1.436,2.461467538,11563.83043,1.935618932,14.3,73.357,21.2,0.993263125,19.26830365,0.851036549,83.75
"St. Vincent and the Grenadines",100,94,17.94871795,13.708,2.396443803,12,8.906,73.28815772,18.90862462,56,-0.254233405,10,50.273,1583,0.74370873,5.85861884,1.873,3.438252032,8399.707731,2.324144854,7.9,74.128,13.9,0.822919726,22.75112675,0.855020404,68.125
"Sweden",100,100,7.36634329,11.4,3.529743944,9,9.1,6.26941116,21.2935401,89.24696316,1.16164516,7.5,4.066,624,2.109263897,3.584577052,1.76,0.772577449,54589.06039,1.953535301,3.520634921,82.55853659,2.2,0.92122525,17.70954266,1.580299258,100
"Switzerland",100,100,38.18240515,10.3,4.402143727,11,7.9,3.047806611,39.12505517,91.8,0.736633975,10,2.403,1537,1.969518185,4.743483036,1.52,2.10552472,85217.36915,0.936335464,6.498855835,83.75365854,3.6,1.319249392,14.99473717,1.591921687,85.625
"Tanzania",34.92961121,4.9,44.13795439,37.525,0.206899782,7,6.177,21.90296259,0.213869948,17.1,3.189237171,27.5,127.938,1071,-0.47571075,1.994266611,4.923,2.207868433,1011.600159,3.494458489,12.96324081,66.535,36.8,-0.580516219,44.39401934,-0.380436808,81.25
"Thailand",99.82,82.1,44.717447,9.662,3.718427852,9,7.027,13.47979098,8.518469332,56.81748093,0.323321355,6,36.046,1622,-0.45801872,2.683939283,1.378,3.886439661,7124.55881,1.063897542,23.01393518,78.662,8.1,-0.799434543,16.57907762,-1.017935634,75
"Timor-Leste",85.15628052,11.7,23.00605245,25.921,0.404249333,9,7.012,89.44694197,0.174823374,27.6,1.485808227,13,35.654,1500,-0.505638003,1.023898745,3.452,-2.157407703,1241.164485,2.29424307,28.26821032,68.017,47.1,0.233176738,37.26561612,0.321847469,86.25
"Togo",50,8.8,70.2334988,33.186,0.272149541,10,8.766,16.22514114,0.468404419,15.5,2.438994035,5.5,80.53,1168,-0.749031723,4.093173393,4.442,2.270152902,873.5548872,0.927755426,3.391634981,60.244,46.8,-0.88600421,40.91853919,-0.758381546,84.375
"Tunisia",99.8,99.8,62.4388517,17.737,2.599764804,9,6.04,13.06658955,10.9110066,64.19081023,1.02422999,9,7.455,207,-0.113984153,5.768439862,2.174,1.579179371,3577.175342,7.30759176,95.9987812,75.95,14.6,-0.86821872,24.85513857,0.191849709,64.375
"Turkiye",100,95.2,49.11710822,16.481,5.08691958,12,5.065,10.7207424,14.04849508,71.04276084,1.353602986,7,21.15,593,-0.351102501,4.455904765,2.054,1.62818524,9568.83619,16.3324639,45.37887544,77.563,9.2,-1.315165997,24.03628206,-0.846058667,82.5
"Uganda",41.92,0.8,71.88809096,38.062,0.141311434,7,5.939,55.51468043,0.197676067,6,3.401277959,24,113.187,1180,-1.050883651,5.071157528,4.932,2.749030461,793.1280822,2.61601191,5.82799634,62.714,34.4,-0.701724708,46.76019462,-0.680717766,70
"Ukraine",100,95.2,71.33068692,8.7,4.159868343,11,14.8,39.12581456,14.38824117,62.55315539,-0.466425621,6.5,19.558,565,-0.921201885,1.160290086,1.301,4.016381776,3096.5625,10.95185594,13.87017362,71.58268293,7.4,-1.872089386,15.4572675,-0.030444134,79.375
"United Arab Emirates",100,100,5.375246409,10.049,19.06094953,12,1.324,4.206221302,25.61650385,98.45000178,0.789450108,3.8,4.275,78,1.11653626,3.0208513,1.356,0.517239889,46722.26872,3.068633793,1667.333333,79.627,6,0.689086735,14.5293695,-1.122703671,30
"United Kingdom",100,100,71.71852023,11,5.425128404,11,9.2,6.33004539,47.43275679,90.69200899,0.605929132,4.5,12.338,1220,1.806572199,2.058929509,1.68,0.791214735,43203.81411,2.292839903,14.35464621,81.25609756,3.8,0.077564575,17.90835227,1.381677747,97.5
"United States",100,100,44.36336735,11.6,15.2225181,12,8.678,9.401199456,33.21881969,88.49890317,0.526435396,5.6,17.06,715,1.292678237,2.014735974,1.7295,2.404867872,62823.30944,2.442583297,28.16198427,78.63902439,5.6,0.386042565,18.91102168,0.995731652,91.25
"Uzbekistan",99.9921875,84.2,57.92340673,23.3,3.420322793,12,4.7,9.467322732,10.66349218,55.20000067,1.736986377,3,19.015,206,-1.082399607,12.22419357,2.604,4.056506681,1604.258642,17.52417965,168.924577,71.149,14.4,-0.304469526,29.08813816,-1.627289057,64.375
"Viet Nam",100,90.7,38.73445023,15.873,3.014711266,10,6.663,10.63415881,4.526504059,69.84792868,0.932840032,17,34.514,1821,-0.511549294,2.141405229,1.937,6.467191498,3267.225069,3.539628059,18.13031538,73.976,17,0.032742601,23.01772439,-1.471340656,81.875
"Zambia",40.2293396,12.2,32.06795894,36.04,0.440527424,7,6.748,6.208452836,0.563156552,14.2999971,3.061887802,8.5,124.849,1020,-0.678601682,1.624947004,4.536,0.89734746,1475.199883,7.494571927,2.835497836,62.342,43.6,0.082525499,44.4961825,-0.336164176,78.75
"Zimbabwe",45.40028763,30,41.87669639,32.074,0.735434805,7,7.972,25.75192825,1.786112899,25,2.020537288,32,98.507,657,-1.246000648,2.203863662,3.659,2.909395136,2269.177012,10.61886587,35.40538538,61.414,38,-0.721038401,41.79879478,-1.136797905,86.875
